기준년월,지번코드,지번코드 위치,00시~01시 유동인구,01시~02시 유동인구,02시~03시 유동인구,03시~04시 유동인구,04시~05시 유동인구,05시~06시 유동인구,06시~07시 유동인구,07시~08시 유동인구,08시~09시 유동인구,09시~10시 유동인구,10시~11시 유동인구,11시~12시 유동인구,12시~13시 유동인구,13시~14시 유동인구,14시~15시 유동인구,15시~16시 유동인구,16시~17시 유동인구,17시~18시 유동인구,18시~19시 유동인구,19시~20시 유동인구,20시~21시 유동인구,21시~22시 유동인구,22시~23시 유동인구,23시~00시 유동인구,00시~01시 유동인구 비율,01시~02시 유동인구 비율,02시~03시 유동인구 비율,03시~04시 유동인구 비율,04시~05시 유동인구 비율,05시~06시 유동인구 비율,06시~07시 유동인구 비율,07시~08시 유동인구 비율,08시~09시 유동인구 비율,09시~10시 유동인구 비율,10시~11시 유동인구 비율,11시~12시 유동인구 비율,12시~13시 유동인구 비율,13시~14시 유동인구 비율,14시~15시 유동인구 비율,15시~16시 유동인구 비율,16시~17시 유동인구 비율,17시~18시 유동인구 비율,18시~19시 유동인구 비율,19시~20시 유동인구 비율,20시~21시 유동인구 비율,21시~22시 유동인구 비율,22시~23시 유동인구 비율,23시~00시 유동인구 비율,데이터기준일자,Latitude,Longitude
Nov-15,5013010000000000000,제주특별자치도 서귀포시 회수동 1000-128,8.84,5,4.32,3.57,4.02,6.72,17.92,40.86,62.4,78.46,88.14,90.06,87.93,87.14,85.5,86.23,91.75,101.05,89,59.38,47.01,37.45,23.49,13.5,0.000420853,0.000354389,0.00045301,0.000529679,0.000663798,0.000667516,0.000806715,0.000784952,0.000713634,0.000672702,0.000649493,0.000635292,0.000632424,0.000613129,0.000594267,0.000580353,0.000576381,0.000580975,0.000551147,0.000492574,0.000480066,0.000466633,0.000439512,0.000393565,2015-11-30,33.2646702,126.4265248
Nov-15,5013010000000000000,제주특별자치도 서귀포시 회수동 9999-9488,0.32,0.25,0.22,0.24,0.27,0.29,0.65,1.68,2.46,3.79,4.77,5.46,4.66,4.76,4.89,4.78,4.86,4.6,2.73,0.98,0.68,0.54,0.4,0.28,1.53213E-05,1.76119E-05,2.25806E-05,3.49722E-05,4.51087E-05,2.88065E-05,2.94693E-05,3.22477E-05,2.81649E-05,3.24673E-05,3.51405E-05,3.85119E-05,3.35125E-05,3.35212E-05,0.000034014,0.000032167,3.05074E-05,2.64532E-05,1.68768E-05,8.12109E-06,6.96188E-06,0.000006733,7.54778E-06,8.29867E-06,2015-11-30,33.2730775,126.4443267
Nov-15,5013010000000000000,제주특별자치도 서귀포시 대포동 1000-128,9.99,5.81,5.07,4.29,4.71,7.15,18.65,41.46,63.97,80.47,90.6,92.98,91.25,90.56,88.75,89.88,95.37,104.8,93.68,63.75,50.91,40.3,25.99,15.12,0.000475962,0.000412402,0.000531658,0.000636376,0.000777754,0.000709931,0.000839621,0.00079644,0.000731551,0.000689996,0.000667636,0.000655894,0.000656273,0.000637207,0.000616875,0.000604957,0.000599091,0.000602551,0.000580116,0.000528827,0.000519945,0.000502234,0.000486364,0.000440791,2015-11-30,33.2464263,126.4427952
Nov-15,5013010000000000000,제주특별자치도 서귀포시 대포동 9999-9744,8.3,4.31,3.48,2.65,3.12,5.78,17.4,43.32,66.86,85.87,97.8,100.67,98.56,96.69,94.94,96.38,102.1,112.57,96.48,62.15,48.81,38.71,24.1,13.9,0.000395323,0.000305407,0.000365239,0.000393846,0.000516354,0.000573911,0.000783428,0.000832152,0.000764638,0.000736287,0.000720701,0.000710146,0.000708868,0.000680323,0.000659902,0.000648682,0.000641364,0.000647209,0.000597468,0.000515516,0.000498484,0.000482342,0.000450902,0.000405197,2015-11-30,33.2732739,126.4486127
Nov-15,5013010000000000000,제주특별자치도 서귀포시 대포동 1999-9488,10.19,5.41,4.21,3.28,3.65,6.92,19.96,48.64,75.11,94.61,107.09,109.95,106.81,106.17,104.56,106.15,113.21,125.3,110.66,73.98,58.97,47.25,29.28,16.72,0.000485361,0.000383419,0.000441545,0.000487089,0.000602716,0.000687481,0.000898364,0.000934306,0.000858991,0.000811208,0.000789179,0.000775556,0.000768188,0.000747063,0.000726769,0.000714445,0.000711157,0.000720401,0.000685274,0.000613724,0.000602292,0.000588716,0.000547869,0.000487367,2015-11-30,33.242588,126.4327427
Nov-15,5013010000000000000,제주특별자치도 서귀포시 대포동 2999-9872,5.87,3.22,2.64,2.11,2.36,4.04,11.31,26.93,41.63,52.59,59.48,61.09,59.69,59.11,58.13,59.01,62.73,69.27,61.18,40.93,32.57,25.96,16.34,9.39,0.000279658,0.000228104,0.000276385,0.000313217,0.000389841,0.000401734,0.000509111,0.000517308,0.000476066,0.000450955,0.000438323,0.000430922,0.000429326,0.000415944,0.000404037,0.000397175,0.000394077,0.000398264,0.000378866,0.000339557,0.000332597,0.000323496,0.000305729,0.000273691,2015-11-30,33.2732739,126.4486127
Nov-15,5013010000000000000,제주특별자치도 서귀포시 대포동 9999-9488,1.16,0.77,0.66,0.64,0.72,0.87,2.37,6.88,11.42,17.16,20.59,22.18,19.66,20.04,20.49,20.53,20.73,19.29,12.45,6.09,4.52,3.55,2.38,1.52,5.54585E-05,5.48451E-05,6.88953E-05,0.00009443,0.000118913,8.65188E-05,0.000106864,0.000132205,0.000130604,0.000147169,0.000151709,0.000156476,0.000141402,0.000140983,0.000142418,0.000138167,0.000130194,0.000110913,7.71158E-05,5.04879E-05,0.000046122,0.000044211,4.46068E-05,4.44086E-05,2015-11-30,33.2732739,126.4486127
Nov-15,5013010000000000000,제주특별자치도 서귀포시 월평동 9999-9744,4.32,2.26,1.74,1.37,1.54,3.11,9.15,22.54,34.62,43.78,49.2,50.46,48.85,48.58,47.85,48.4,51.49,56.24,48.7,32.62,25.9,20.59,12.65,7.21,0.000205894,0.000160375,0.000182812,0.000203156,0.000253688,0.000308627,0.000411835,0.000433064,0.00039589,0.000375349,0.000362523,0.00035593,0.000351359,0.000341835,0.000332578,0.000325744,0.000323478,0.000323358,0.000301585,0.000270589,0.000264493,0.000256618,0.000236664,0.000210188,2015-11-30,33.2443528,126.4637697
Nov-15,5013010000000000000,제주특별자치도 서귀포시 월평동 1000-128,1.26,0.75,0.73,0.65,0.72,1.14,2.9,6.44,9.73,12.31,13.54,13.81,13.53,13.47,13.17,13.12,13.83,14.54,12.32,8.49,6.7,5.17,3.32,1.93,5.99676E-05,5.31903E-05,7.67251E-05,9.63097E-05,0.000118307,0.00011357,0.000130496,0.000123746,0.000111257,0.000105576,9.97622E-05,9.74283E-05,9.73369E-05,9.47468E-05,9.15444E-05,8.83169E-05,8.68587E-05,8.36218E-05,7.63232E-05,7.04021E-05,6.83864E-05,6.44017E-05,6.21788E-05,5.63124E-05,2015-11-30,33.2443528,126.4637697
Nov-15,5013010000000000000,제주특별자치도 서귀포시 강정동 9999-9744,54.54,27.45,19.14,16.41,13.69,30.82,93.01,225.98,377.35,481.91,546.46,572.31,560.93,574.93,580.4,599.1,636.16,701.68,639.51,446.56,359.35,289.64,182.1,105.43,0.002597707,0.001946788,0.002007506,0.002434503,0.00226144,0.003060969,0.004186955,0.004341107,0.004315612,0.004131928,0.004026916,0.004037028,0.004034246,0.004045434,0.004034165,0.004032201,0.00399634,0.004034263,0.003960181,0.003704327,0.003669998,0.003609135,0.003407755,0.003073578,2015-11-30,33.2523833,126.4911269
