주차장관리번호,주차장명,주차장구분,주차장유형,주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,관리기관명,위도,경도
405-2-000038,관덕정 서측 공영주차장,공영,노외,제주특별자치도 제주시 삼도이동 1024,37,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.5134871,126.5206769
405-2-000039,노형 제1 공영주차장,공영,노외,제주특별자치도 제주시 노형동 1282-1,64,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4863798,126.4777258
405-2-000040,노형 제4 공영주차장,공영,노외,제주특별자치도 제주시 노형동 2580-1,46,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4889702,126.4750284
405-2-000041,성내 공영주차장,공영,노외,제주특별자치도 제주시 삼도2동 839,35,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.5120406,126.5215055
405-2-000042,모로왓 제1 공영주차장,공영,노외,"제주특별자치도 제주시 일도2동 488-1,2",120,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.5061057,126.541256
405-2-000043,모로왓 제2 공영주차장,공영,노외,"제주특별자치도 제주시 일도2동 510,511",133,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.5061057,126.541256
405-2-000044,웅전 공영주차장,공영,노외,"제주특별자치도 제주시 노형동 2517-1,2",80,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4825025,126.4718951
405-2-000045,종남 공영주차장,공영,노외,"제주특별자치도 제주시 노형동 2512-1,2",62,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.484161,126.4714398
405-2-000046,수덕 공영주차장,공영,노외,제주특별자치도 제주시 노형동 2534-3,48,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4836312,126.4742853
405-2-000047,서가름 공영주차장,공영,노외,제주특별자치도 제주시 노형동 2575-1,40,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4906197,126.4731589
405-2-000048,초남 공영주차장,공영,노외,제주특별자치도 제주시 노형동 3782,57,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4841613,126.4786503
405-2-000049,원노형 푸른 제3 공영주차장,공영,노외,"제주특별자치도 제주시 노형동 740-2,3",44,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4791824,126.4817166
405-2-000050,원노형 푸른 제4 공영주차장,공영,노외,제주특별자치도 제주시 노형동 751,30,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4778516,126.4797122
405-2-000051,원노형 푸른 제5 공영주차장,공영,노외,제주특별자치도 제주시 노형동 736,41,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4788671,126.4798782
405-2-000052,연동 국기로 제1 공영주차장,공영,노외,제주특별자치도 제주시 연동 1517,30,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4783637,126.4903445
405-2-000053,연동 국기로 제2 공영주차장,공영,노외,제주특별자치도 제주시 연동 1499,26,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4786639,126.4905851
405-2-000054,신성로 10길 공영주차장,공영,노외,제주특별자치도 제주시 도남동 87-8,166,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4958226,126.5295655
405-2-000055,이도2동 중앙 공영주차장,공영,노외,제주특별자치도 제주시 이도2동 1982-15·17,33,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4909191,126.5341622
405-2-000056,연동 도령북길 공영주차장,공영,노외,제주특별자치도 제주시 연동 2305-7,26,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4933753,126.4872617
405-2-000057,오복1길 공영주차장,공영,노외,제주특별자치도 제주시 이도2동 1035-4,36,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4909191,126.5341622
405-2-000058,도남로 15길 공영주차장,공영,노외,제주특별자치도 제주시 도남로 65-3,35,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4945035,126.5279156
405-2-000059,아라 신설로4길 제1 공영주차장,공영,노외,제주특별자치도 제주시 아라2동 3002-1,20,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4935595,126.542469
405-2-000060,아라 신설로4길 제2 공영주차장,공영,노외,제주특별자치도 제주시 아라2동 3002-9,19,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4926974,126.5432948
405-2-000061,도련 공영주차장,공영,노외,제주특별자치도 제주시 도련1동 1642,60,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.5076737,126.5881116
405-2-000062,남광북1길 공영주차장,공영,노외,제주특별자치도 제주시 이도2동 1063-12,19,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4909191,126.5341622
405-2-000063,아라동 주민센터 공영주차장,공영,노외,제주특별자치도 제주시 아라1동 6103-6,25,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4763041,126.5449296
405-2-000064,도남동 664-6 공영주차장,공영,노외,제주특별자치도 제주시 도남동 664-6,32,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.490485,126.5270966
